Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Pasaje,15,15,,
Flames at Hurr Mountain,19,20,,
Brokenmusic,21,21,,
In the Ruins,22,23,,
The Unnatural Apologies of Shadows,24,24,,
"Listen,,25, Tonight",
Sun Moon Midnight,26,26,,
Of the End,27,27,,
The Hawk Quartet,28,29,,
The Map of Home,30,30,,
"Butterfly,,31, or What Is Unnamed",
Unstrung Lute,32,32,,
Country of Days,33,33,,
Don't Believe,34,34,,
Autobiography of Night,35,35,,
Pendule,36,36,,
Intermisión,37,37,,
Akhmatova and I: Boleros,38,38,,
History by Candlelight,39,39,,
Love and Strange Horses-Intima',40,42,,
Les Fenêtres-Three Drafts,45,45,,
Corriendo,46,46,,
Ahmad,47,48,,
Elephant Fever,49,49,,
Entrances and Other Endings,50,50,,
Javier,51,57,,
The Other Woman,58,58,,
Why Men Die Young,59,60,,
Scènes dans une Chambre Mauve,61,62,,
In Jerusalem,63,63,,
"Les Éventails,,64, Portraits of Passion",
The Bulgarian Orchestra,65,65,,
"Carrousel,,66, or After Lovemaking",
"In January,,68, Amor y Lluvia",
Lubhyati: Love Letters,71,73,,
Love and Strange Horses-Elegía Erótica,74,74,,
El Mundo,77,77,,
The Meadows,78,78,,
The Song Fox,79,79,,
Hayat,80,80,,
White Trees,81,81,,
Here and There,82,83,,
The Songmaker-19 Arabics,84,85,,
Interview with Jesus or Edward Hopper,86,86,,
Winter Phantoms,87,87,,
Portraits & Truths,88,89,,
"Black Butterflies,,90, A Lost Tango",
Les Cloîtres,92,92,,
White Strawberries,93,93,,
Sailing to Tarsus,94,94,,
Dream of O'Keeffe's Dream,95,98,,
Harbors,99,99,,
Love and Strange Horses-Terre Música,100,100,,
